ST	adk	atpA	dxr	glyA	recA	sodA	tpi
PSM123_/PSM123__MLST/mlst_report.tsv	37	3	7	3	8	6	9	11
PSM124_/PSM124__MLST/mlst_report.tsv	14	1	1	2	1	5	5	3
PSM125_/PSM125__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM126_/PSM126__MLST/mlst_report.tsv	4	1	2	2	1	1	5	3
PSM127_/PSM127__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM128_/PSM128__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM129_/PSM129__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM130_/PSM130__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM131_/PSM131__MLST/mlst_report.tsv	10	2	1	2	1	1	3	1
PSM132_/PSM132__MLST/mlst_report.tsv	26	1	1	6	1	4	3	4
PSM133_/PSM133__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM134_/PSM134__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM135_/PSM135__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM136_/PSM136__MLST/mlst_report.tsv	8	1	1	2	6	1	5	1
PSM137_/PSM137__MLST/mlst_report.tsv	53	1	2	2	1	1	5	1
PSM138_/PSM138__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM139_/PSM139__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM140_/PSM140__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM141_/PSM141__MLST/mlst_report.tsv	43	1	7	6	1	1	5	6
PSM142_/PSM142__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM143_/PSM143__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM144_/PSM144__MLST/mlst_report.tsv	36	2	1	2	3	1	5	1
PSM145_/PSM145__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM146_/PSM146__MLST/mlst_report.tsv	3*	1	1	2	1	1*	1	1
PSM147_/PSM147__MLST/mlst_report.tsv	63	1	1	7	5	1	3	3
PSM148_/PSM148__MLST/mlst_report.tsv	58	1	5	7	1	1	13	1
PSM149_/PSM149__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM150_/PSM150__MLST/mlst_report.tsv	2	1	1	2	1	5	3	1
PSM151_/PSM151__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM152_/PSM152__MLST/mlst_report.tsv	46	4	1	6	1	1	10	1
PSM153_/PSM153__MLST/mlst_report.tsv	42	1	1	2	1	1	7	1
PSM154_/PSM154__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM155_/PSM155__MLST/mlst_report.tsv	1	1	1	1	10	1	3	5
PSM156_/PSM156__MLST/mlst_report.tsv	53	1	2	2	1	1	5	1
